region_id,baseline_irv,perturbed_irv,delta_irv,replacement_rate,selected_paths
193,1.2892891577,1.3223343046,0.0330451469,0.2,7829
194,32.6465112005,33.5247386667,0.8782274662,0.2,7829
195,21.4595066785,19.6481450690,-1.8113616096,0.2,7829
196,16.4380598135,16.9578055097,0.5197456962,0.2,7829
197,27.0099901936,22.9573636385,-4.0526265550,0.2,7829
198,0.0469794877,0.0977971359,0.0508176482,0.2,7829
199,7.7005408211,7.9083359299,0.2077951088,0.2,7829
200,27.4186677445,27.3062875870,-0.1123801575,0.2,7829
201,24.9893402682,21.0569684831,-3.9323717851,0.2,7829
202,10.1737065936,8.0491457824,-2.1245608112,0.2,7829
203,5.5179191016,5.6134229261,0.0955038246,0.2,7829
204,5.8824385646,8.6470391190,2.7646005544,0.2,7829
205,139.6962096274,141.4329266786,1.7367170512,0.2,7829
206,71.1426895361,71.8434088858,0.7007193498,0.2,7829
207,2.1265089156,2.2455240316,0.1190151160,0.2,7829
208,8.6306178520,7.1309782027,-1.4996396494,0.2,7829
209,1.7203713234,1.7072233711,-0.0131479523,0.2,7829
210,33.2367224183,29.8039911857,-3.4327312326,0.2,7829
211,8.8181584985,9.4500268862,0.6318683877,0.2,7829
212,40.2957455131,41.8606855616,1.5649400485,0.2,7829
213,70.5496566199,72.1552161892,1.6055595693,0.2,7829
214,14.3402064184,12.7113576382,-1.6288487802,0.2,7829
215,31.0348375120,34.0219081749,2.9870706629,0.2,7829
216,12.2952161584,12.7786129545,0.4833967962,0.2,7829
217,25.6472535140,23.5282473410,-2.1190061730,0.2,7829
218,11.3964851868,10.2840058694,-1.1124793174,0.2,7829
219,0.3725603776,0.3232041952,-0.0493561824,0.2,7829
220,1.2718998423,1.1420932423,-0.1298065999,0.2,7829
221,56.1880195158,53.6072919557,-2.5807275602,0.2,7829
222,26.9337405907,24.0759041295,-2.8578364613,0.2,7829
223,22.9557246289,18.8079305405,-4.1477940883,0.2,7829
224,0.5174511456,0.5698376486,0.0523865029,0.2,7829
225,18.5352353656,15.9590270292,-2.5762083364,0.2,7829
226,6.8010860496,7.1295497139,0.3284636643,0.2,7829
227,26.4826225320,32.1447384582,5.6621159262,0.2,7829
228,1.2270352193,1.2190481931,-0.0079870262,0.2,7829
229,9.1431934025,8.4514759698,-0.6917174327,0.2,7829
230,1.6377874923,1.6835764960,0.0457890037,0.2,7829
231,78.0542928652,73.6977167631,-4.3565761020,0.2,7829
232,27.4133328341,34.1671525255,6.7538196914,0.2,7829
233,154.5504002228,158.4798811188,3.9294808960,0.2,7829
234,58.5929409360,58.6811218502,0.0881809141,0.2,7829
235,25.8660932543,23.1599610724,-2.7061321819,0.2,7829
236,11.8257205489,11.3574887899,-0.4682317590,0.2,7829
237,12.1167892401,8.5305734081,-3.5862158320,0.2,7829
238,60.0907117775,60.3836772580,0.2929654805,0.2,7829
239,104.9147095028,102.6038475916,-2.3108619113,0.2,7829
240,4.3877010041,4.4799572408,0.0922562367,0.2,7829
241,5.2058115549,4.4594942450,-0.7463173099,0.2,7829
242,9.5753487327,15.3505144866,5.7751657539,0.2,7829
243,1.5636063889,1.2489132666,-0.3146931223,0.2,7829
244,15.2702889711,16.2707659897,1.0004770186,0.2,7829
245,0.2699374067,0.2913751815,0.0214377748,0.2,7829
246,13.1651946782,13.7906608687,0.6254661905,0.2,7829
247,16.2639879589,14.8730257803,-1.3909621786,0.2,7829
248,0.4811371980,0.4789887768,-0.0021484212,0.2,7829
249,37.1353978868,37.0744991026,-0.0608987842,0.2,7829
250,70.0977999128,88.3857735015,18.2879735887,0.2,7829
251,23.9800389662,24.2129449001,0.2329059339,0.2,7829
252,2.2061017388,2.7457509697,0.5396492309,0.2,7829
253,1.0710018757,1.0453379934,-0.0256638823,0.2,7829
254,13.8089218953,12.6663078840,-1.1426140113,0.2,7829
255,18.5703784610,20.6890351574,2.1186566963,0.2,7829
256,18.0128069700,20.5197754335,2.5069684635,0.2,7829
257,2.9259351945,2.9646111355,0.0386759411,0.2,7829
258,100.8056714249,107.5048394137,6.6991679888,0.2,7829
259,2.7117877952,2.7688923637,0.0571045685,0.2,7829
260,153.4916302817,134.4850110267,-19.0066192550,0.2,7829
261,28.3313998830,28.6615726319,0.3301727489,0.2,7829
262,1.6753430365,1.9700973315,0.2947542950,0.2,7829
263,5.9876105734,5.2406246698,-0.7469859036,0.2,7829
264,4.1517733667,4.2555216557,0.1037482890,0.2,7829
265,26.6209940728,25.8690371195,-0.7519569533,0.2,7829
266,24.7451320568,22.3910919422,-2.3540401146,0.2,7829
267,18.1967503103,19.7329302184,1.5361799081,0.2,7829
268,36.7729461426,31.6489223388,-5.1240238038,0.2,7829
269,12.0714216196,10.6554208997,-1.4160007199,0.2,7829
270,36.7466770091,47.1913369589,10.4446599498,0.2,7829
271,0.7052908935,0.5599390933,-0.1453518002,0.2,7829
272,174.6518562619,178.3665095780,3.7146533161,0.2,7829
273,19.6571407930,16.5268875369,-3.1302532562,0.2,7829
274,2.9145337276,2.9189482940,0.0044145663,0.2,7829
275,71.9581368115,63.8183930186,-8.1397437929,0.2,7829
276,284.6551401806,303.5388053858,18.8836652052,0.2,7829
277,40.6849433954,36.5159027495,-4.1690406458,0.2,7829
278,0.2129393616,0.2850862526,0.0721468909,0.2,7829
279,0.5275057531,0.6355503943,0.1080446412,0.2,7829
280,20.5390824071,19.3520213336,-1.1870610735,0.2,7829
281,1.5428496583,1.5624407329,0.0195910747,0.2,7829
282,11.3862859830,13.1728418528,1.7865558697,0.2,7829
283,60.6967076840,53.7453634178,-6.9513442662,0.2,7829
284,4.1241609459,3.8206924959,-0.3034684500,0.2,7829
285,0.9097271913,0.7993490336,-0.1103781576,0.2,7829
286,11.4863933198,10.0829379372,-1.4034553826,0.2,7829
287,6.1823580968,7.4730448121,1.2906867154,0.2,7829
288,3.9692238533,4.1279425456,0.1587186923,0.2,7829
289,8.4704541658,8.2556745180,-0.2147796478,0.2,7829
290,104.6010151581,102.7983332256,-1.8026819325,0.2,7829
291,50.7265612528,49.9673712762,-0.7591899766,0.2,7829
292,2.0433337075,1.8843242242,-0.1590094833,0.2,7829
293,5.7383670909,5.6329645429,-0.1054025480,0.2,7829
294,16.7651817417,15.1284679284,-1.6367138133,0.2,7829
295,30.8456847184,32.1163507163,1.2706659979,0.2,7829
296,14.4602360531,15.1630353321,0.7027992790,0.2,7829
297,12.7821494852,14.1490382506,1.3668887654,0.2,7829
298,61.3485092699,60.3187380357,-1.0297712342,0.2,7829
299,27.0803423045,26.9249389188,-0.1554033856,0.2,7829
300,13.5801272184,16.9805043764,3.4003771580,0.2,7829
301,301.8004584950,301.4164210538,-0.3840374412,0.2,7829
302,1.4303744895,1.2737187494,-0.1566557401,0.2,7829
303,67.4470441676,61.6112324499,-5.8358117177,0.2,7829
304,0.3241564612,0.6212475357,0.2970910745,0.2,7829
